File; Clique; Time (sec)
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock200_1.clq; 16; 0.14
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock200_2.clq; 10; 0.072
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock200_3.clq; 10; 0.049
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock200_4.clq; 12; 0.127
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock400_1.clq; 20; 0.225
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock400_2.clq; 18; 0.164
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock400_3.clq; 20; 0.257
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\brock400_4.clq; 19; 0.184
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\C125.9.clq; 28; 0.028
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\gen200_p0.9_44.clq; 33; 0.076
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\gen200_p0.9_55.clq; 34; 0.05
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\hamming8-4.clq; 12; 0.016
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\johnson16-2-4.clq; 8; 0.001
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\johnson8-2-4.clq; 4; 0.001
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\keller4.clq; 9; 0.026
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\MANN_a27.clq; 123; 0.038
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\MANN_a9.clq; 16; 0.004
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\p_hat1000-1.clq; 8; 0.464
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\p_hat1000-2.clq; 33; 1.565
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\p_hat1500-1.clq; 9; 0.579
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\p_hat300-3.clq; 25; 0.136
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\p_hat500-3.clq; 30; 0.232
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\san1000.clq; 8; 0.282
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\sanr200_0.9.clq; 30; 0.057
C:\Users\maria\dev\HSE\modernop\locsearch\src\..\cliques\sanr400_0.7.clq; 17; 0.256
